Country Code,Country Name,Indicator Code,Indicator Name,Year,Value
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1900,63.71
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1901,73.8
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1902,73.73
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1903,67.64
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1904,85.28
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1905,64.92
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1906,73.59
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1907,61.91
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1908,79.1
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1909,52.49
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1910,71.5
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1911,65.72
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1912,79.42
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1913,73.94
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1914,64.83
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1915,83.12
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1916,69.81
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1917,73.97
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1918,80.8
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1919,85.84
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1920,63.11
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1921,80.11
ARE,United Arab Emirates,SE.ADT.1524.LT.ZS,youth_literacy_rate,1922,59.38
